133	メンデルスゾーン	Mendelssohn	交響曲第３番「スコットランド」	"Symphony No.3 ""Scottland"""	Breitkopf&Haertels	F.O.	×	スコア、Picc、Fl1											
134	メンデルスゾーン	Mendelssohn	バイオリン協奏曲	Violin Concerto	Eulenberg	F.O.	○												
135	メンデルスゾーン	Mendelssohn	劇音楽「真夏の夜の夢」より序曲	Intermezzo zu Shakespeare's Sommernachtstraum	Breitkopf&Haertels	F.O.	○												
136	メンデルスゾーン	Mendelssohn	劇音楽「真夏の夜の夢」より間奏曲	Ouverture zu Shakespeare's Sommernachtstraum	Breitkopf&Haertels	F.O.	○												
137	メンデルスゾーン	Mendelssohn	劇音楽「真夏の夜の夢」より結婚行進曲	"Hochzeitsmarsch aus Shakespeare's ""Sommernachtstraum"""	Breitkopf&Haertels	F.O.	○												
138	モーツァルト	Mozart	交響曲第25番	Symphony No.25	Breitkopf&Haertels	F.O.	○												
139	モーツァルト	Mozart	交響曲第39番	Symphony No.39	Baerenreiter	F.O.	○	弦はBreitkopf											
140	モーツァルト	Mozart	交響曲第40番	Symphony No.40		F.O.	×	スコア											

141	モーツァルト	Mozart	交響曲第41番「ジュピター」	"Symphony No.41 ""Jupiter"""	Baerenreiter	F.O.	×	スコアなし											
142	モーツァルト	Mozart	交響曲イ長調	Symphony A-Dur	Baerenreiter	F.O.	○												
143	モーツァルト	Mozart	ピアノ協奏曲第26番「戴冠式」	Klavier Konzert No.26	Breitkopf&Haertels	F.O.	×	スコアなし											
144	モーツァルト	Mozart	序曲「後宮からの迷走」	"Overture ""Seraglio"""	Boosey&Hawkes	F.O.	×	スコアなし											
145	モーツァルト	Mozart	序曲「ドン・ジョバンニ」	"Ouverture zur Oper ""Don Juan"""	Kalmus	F.O.	×	"Vn1,2、Timp"											
146	モーツァルト	Mozart	序曲「魔笛」	Die Zauberflote	Breitkopf&Haertels	F.O.	×	スコアなし											
147	モーツァルト	Mozart	モテット「アヴェ・ベルム・コルプス」	"Motette ""Ave Verum Corpus"""	不明	F.O.	○		日吉										
148	モーツァルト	Mozart		Maurerische Trauermusik	Baerenreiter	F.O.	○												
149	モーツァルト	Mozart	セレナーデ第10番	Serenade No.10	不明	F.O.	×	スコア、Cl2、Hr2なし											
150	モーツァルト	Mozart	アイネ・クライネ・ナハトムジーク	Eine Kleine Nachtmusik	Robert King Music.Co.	F.O.	○												
151	モーツァルト	Mozart	アダージォとフーガ	Adagio und Fuge	Breitkopf&Haertels	F.O.	○												
152	モーツァルト	Mozart	アイネ・クライネ・ナハトムジーク	Eine Kleine Nachtmusik	不明	F.O.	×	Vaなし											
153	モーツァルト	Mozart	ディベルティメント第1番KV136	Divertimento KV136	Baerenreiter	F.O.	×	スコア、Vaなし											
154	モーツァルト	Mozart	ディベルティメント第15番KV287	Divertimento KV287	Breitkopf&Haertels	F.O.	×	スコア											
155	モーツァルト	Mozart	ディベルティメントKV334	Divertimento KV334	Breitkopf&Haertels	F.O.	○												
156	モーツァルト	Mozart	弦楽四重奏曲第5、6、7番	Streichquartett No.5〜7 KV158〜160	Hartus Musicus	Quartet	○												
157	モンティ	Monti	チャルダーシュ	Czardas	Kalmus	F.O.	○												
158	ムソルグスキー	Moussorgsky	禿山の一夜	Une Nuit sur le Mont chauve	Kalmus	F.O.	×	スコアなし											
159	モーツァルト	Mozart	ピアノ協奏曲	Piano Concert No.23	Baerenreiter	F.O.	○												
160	マゼール	Maazel		"A PEARL, A GIRL for orchestra"		F.O.	×	"Ob1,2のみ"											
161	ブラームス	Brahms	バイオリン協奏曲			F.O.													
162	マーラー	Mahler	交響曲第10番（原典版）		ＵＥ	F.O.													
163	ニコライ	Nicolai	序曲「ウィンザーの陽気な女房たち」	"Ouverture zur Oper ""Die Weiber von Windsor"""	Breitkopf&Haertels	F.O.	○		日吉										
164	オッフェンバック	Offenbach	序曲「天国と地獄」			F.O.													
165	ポンキエリ	Ponchielli	時の踊り	Dance of the Hour	Boosey&Hawkes	F.O.	×	"スコア、Trp1,3、Tubaなし"											
166	プロコフィエフ	Prokofieff	交響曲第７番	Symphony No.7	Kalmus	F.O.	×	弦のみ有											
167	プロコフィエフ	Prokofieff	ロミオとジュリエット第一組曲	Romeo and Juliet Suite No.1	Kalmus	F.O.	×	"Cl1、Timp1、Vn1,2、 Vaなし"											
168	プロコフィエフ	Prokofieff	ロミオとジュリエット第二組曲	Romeo and Juliet Suite No.2	Kalmus	F.O.	×	"Cl1,2、Timp1、Vn1,2、なし"	日吉										
169	プロコフィエフ	Prokofieff	ピーターと狼	Peter and the Wolf	Boosey&Hawkes	F.O.	×	スコア、Fl1なし											
170	プロコフィエフ	Prokofieff	キージェ中尉	Lieutenant Kije	Broude Brothers	F.O.	○		日吉										
171	プーランク	Poulenc	組曲「牝鹿」	Les Biches	Heugel	F.O.	○												
172	ラフマニノフ	Rachmaninoff	ピアノ協奏曲第２番	Piano Concerto No.2	Broude Brothers	F.O.	×	スコア、Timp、独奏Pfなし											
173	ラフマニノフ	Rachmaninoff	交響曲第２番	Symphony  No.2	Boosey&Hawkes	F.O.	○												
174	ラヴェル	Ravel	ラ・ヴァルス	La Valse	Durand＆Cie	F.O.	×	"Ob1,2、Trp1,2、Vcなし"											
